preferred_label,alt_labels,type
maintain updated professional knowledge,participate in professional development activities|actively refresh professional knowledge|keep professional knowledge updated|ensure updated professional knowledge|maintain professional knowledge|continuously refresh professional knowledge|carry out activities to ensure that professional knowledge remains up to date|retain updated professional knowledge|preserve updated professional knowledge|perform activities to ensure professional knowledge remains up to date|undertake professional development,skill
assess requirement for horseshoes,requirement for horseshoes agreeing|agree requirement for horseshoes|agreeing requirement for horseshoes|requirement for horseshoes assessing|agree horses' shoeing requirements|agreeing horses' shoeing requirements|assessing requirement for horseshoes|assessing horses' shoeing requirements|assess horses' shoeing requirements,skill
install septic systems,septic systems installing|fit septic systems|fitting septic systems|septic system fitting|septic system installing|septic systems fitting|installing septic systems,skill
maintain specified water characteristics,ensuring specified water characteristics|maintaining specified water characteristics|ensure specified water characteristics|specified water characteristics maintaining|specified water characteristics ensuring,skill
international law,international regulation|international rules|multi national law|international statutes|multi national rules|multi national regulation|multi national statutes,knowledge
conduct physiotherapy assessment,lead physiotherapy assessment|conduct physiotherapy analysis|conduct physiotherapy examination|conduct physiotherapy evaluations|collect data of physiotherapy assessment|conduct physiotherapy examinations|undertake physiotherapy assessment|collect information of physiotherapy examination|conduct physiotherapy evaluation,skill
entomology,the study of insects|insect studies,knowledge
paediatric surgery,pediatric operation|child surgery|pediatric surgery,knowledge
teach driving practices,teach driving principles|educate on driving practices|teaches driving practices|provide instruction on driving practices|teaching driving practices|explain driving practices,skill
operate garment manufacturing machines,operate wearing apparel manufacturing machines|operate clothing manufacturing machines|tend clothing manufacturing machines|operate wearing apparel manufacturing machinery|operate clothing manufacturing machinery|operate garment manufacturing machinery|tend wearing apparel manufacturing machinery|tend garment manufacturing machinery|tend clothing manufacturing machinery|tend wearing apparel manufacturing machines,skill
cut fabrics,cutting fabrics|trim fabrics|snip fabrics|cut fabric,skill
operate mailing information systems,utilise mailing information systems|process and handle mail using mailing information systems|utilise mail information systems|operate mail information systems|perform mailing information system operations|use mailing information systems|carry out operations using mailing information systems|handle and process mail using mailing information systems|use mail information systems|perform operations using mailing information systems,skill
ICT problem management techniques,,knowledge
conduct neurological examination,examine neurological conditions|carry out neurological examination|conduct neurological tests|make neurological assessment|conduct neurological examinations,skill
health and safety hazards underground,dangers underground|risks underground|safety hazards underground|underground safety hazards|health hazards underground|work underground|underground environments|underground health and safety hazards|underground health hazards|underground dangers|underground risks,knowledge
manage overdue library materials,deal with overdue library materials|notify overdue materials|notify overdue library materials|manage overdue materials|manage overdue library properties|deal with overdue materials,skill
wine related sciences,sciences related to wine making|scope of wine-related sciences|scope of wine related sciences|field of wine-related sciences|range of sciences related to wine making|field of sciences related to wine making|range of wine related sciences|field of wine related sciences|range of wine-related sciences,knowledge
coordinate activities in audio recording studio,give direction in audio recording studio,skill
process incoming construction supplies,receipt of incoming construction supplies|handle incoming construction supplies|processing incoming construction supplies|receiving incoming construction supplies|incoming construction supplies processing|processing of incoming construction supplies|receive incoming construction supplies,skill
understand spoken Galician,interpret spoken Galician|understanding spoken Galician|understand Galician speech|listen to Galician|make sense of spoken Galician|comprehend spoken Galician,skill
see to the detainees' well-being,arrange detainees' well-being|look after prisoners well-being|look after detainees' well-being|ensure detainees' well-being|arrange prisoners well-being|ensure prisoners well-being,skill
collect customer data,collect data of clients|gather information on clients|gather client information|collect data of customers|compile customer data|gather consumer information|assemble customer data|gather information on customers|gather customer information|collect client data,skill
sew pieces of fabric,sewing pieces of fabric|stitch pieces of fabric|sew pieces of fabrics|tailor pieces of fabric|fasten pieces of fabric|sew a piece of fabric|embroider pieces of fabric,skill
characteristics of plants,plant characteristics|attributes of plants|characteristic of a plant|qualities of plants|aspects of plants|components of plants|characteristics of a plant,knowledge
design principles of containment systems,range of design principles of containment systems|design of tanks|basis of design principles of containment systems|design of ponds|design of cages|scope of design principles of containment systems|design of pens|design of nets,knowledge
analyse travel alternatives,assess various actions that may improve journey efficiency|assess ways to reduce travel time|assess methods of reducing travel time|assess ways to improve travel time|investigate ways to reduce travel time|perform analysis of various actions that may reduce travel time|assess various actions that may reduce time|analyze  ways to reduce travel time|conduct analysis on various actions that may reduce travel time|analyse methods of reducing travel time|evaluate various actions that may improve journey efficiency|analyse ways to improve travel time,skill
types of wire mesh,brands of wire mesh|categories of galvanised mesh and nets|wire mesh format|varieties of galvanised mesh and nets|brands of galvanised mesh and nets|categories of wire mesh|varieties of wire mesh|galvanised mesh and nets format,knowledge
plan the dispatching of products,planning the dispatching of products|arrange the dispatching of products|project the dispatching of products|plan the dispatching of a product|design the dispatching of products|organise the dispatching of products|plan the dispatch of products,skill
run simulations,use simulations|running simulations|run a simulation|perform simulations|running a simulation|conduct simulations|operate simulations,skill
data protection,principles of information privacy|protection of private information|data privacy|protection of private data|paradigms of data protection|principles of data privacy|principles of data protection|paradigms of data privacy|protection of data|information privacy,knowledge
manufacture carpets,create carpets|create carpets and floor coverings|manufacture carpets on a large scale|produce carpets and floor coverings|manufacture carpets on an industrial scale|manufacture carpets and floor coverings|produce carpets,skill
forecast dividend trends,forecast dividend development|forecast profit share trends|forecast boni trends,skill
use learning strategies,monitor learning process|reflect on learning process|apply new knowledge|able to use learning strategies|prioritise learning tasks|use different learning styles|make use of learning strategies|plan learning|using learning strategies|utilise learning strategies|apply learning strategies,skill
use storyboards,utilise storyboards|employ storyboards|using a storyboards|use storyboard|refer to storyboards,skill
solid mechanics,solid materials mechanics|mechanics of solids,knowledge
analyse health problems within a given community,analyse health care needs of a community|analyze  health problems within a given community|analyze health problems within given communities|analyze health problems within a given community|assess healthcare needs of communities|analyse health problems of a given community,skill
use electronic health records in nursing,work with electronic health records in nursing|use of electronic health records in nursing|document nursing assessment electronically|electronic health records use in nursing|electronic health-records use in nursing|using electronic health records in nursing,skill
arrange rental car drop-off,position rental car drop-off|sort rental car drop-off|organise rental car drop-off|arranging rental car drop-off|prepare rental car drop-off|arranging a rental car drop-off|arrange a rental car drop-off,skill
perform pipeline routing studies,perform research on pipeline routing sites|conduct analysis of pipeline routing sites|perform studies on pipeline routing|undertake studies on pipeline routing|conduct research on pipeline routing sites|conduct pipeline routing studies|undertake pipeline routing studies|analyse pipeline routing sites|conduct studies on pipeline routing,skill
sell telecommunication products,market telecommunication products|sell a telecommunication product|dispose telecommunication products|barter telecommunication products|telecommunication product sales|selling telecommunication products,skill
develop pension schemes,develop pension plans|develop pension arrangement|develop pension theory|develop pension strategies|develop pension system,skill
scale copies,scaling copies|scale copy|measure copies|size copies|dimension copies,skill
plan patient menus,set up patients eating plan|plan menu for a patient|plan menus for patients|plan patients' menus|set up patient diet plan|arrange patient menu|create patient's menu|plan patient's diet,skill
install wood hardware,mount wood hardware|construct wood hardware|build wood hardware|installing wood hardware|set up wood hardware,skill
design information system,design ICT system,skill
promote evaluation capacity development,enhance evaluation capacity development|increase awareness on evaluation|increase awareness on evaluation capacity development,skill
provide membership service,arrange member services|furnish membership services|arrange membership services|administer member services|contribute to member services|contribute to membership services|administer membership services|furnish member services,skill
web strategy assessment,online assessment|analysis of web strategy|web presence assessment,knowledge
employ specific paramedic techniques in out-of-hospital care,employ specific paramedic techniques in out of hospital care|make use of specific paramedic techniques in out-of-hospital care|use specific paramedic techniques in out-of-hospital care|employ paramedic techniques in out of hospital care|utilise specific paramedic techniques in out-of-hospital care|employ specific paramedic skills in out-of-hospital care,skill
locate fossils,locate fossil|locating fossil|discover fossils|identify fossils|locating fossils|uncover fossils|find fossils,skill
types of upsetting machines,categories of upset forging machinery|varieties of upset forging machinery|varieties of upsetting machines|upset forging machinery formats|categories of upsetting machines|brands of upset forging machinery|brands of upsetting machines|upsetting machines formats,knowledge
define integration strategy,,skill
plan events,plan the events|map out an event|programme the event|plan an event,skill
develop business case,produce business case|business case development|develop a business case|establish business case|developing a business case|evaluate business case|launch business case,skill
manufacturer's instructions for audiovisual equipment,manufacturer's guidance for audio visual equipment|manufacturer's advice for audio visual equipment|the manufacturer's instructions for audio-visual equipment|manufacturer's directions for audio visual equipment|manufacturer's information for audio visual equipment|a manufacturer's instructions for audio-visual equipment|manufacturer's instruction for audio-visual equipment,knowledge
execute ICT user research activities,,skill
design original furniture,create  furniture|designing  furniture|produce  furniture|make original furniture,skill
consider building constraints in architectural designs,consider building constraints in architectural blueprints|consider building constraints in architecture designs|consider building constraints in architectural projects|consider building constraints in architectural plans|consider building constraints in architectural proposals,skill
footwear materials,materials for footwear manufacturing|materials for footwear production|materials advantages in footwear production|limitations of footwear materials|footwear production materials|materials' properties in footwear manufacturing|footwear manufacturing materials,knowledge
listen to the stories of the disputants,listen to the story of the disputants|listening to the stories of the disputants|listen to disputants' stories|listen to the stories of the disputant|hear to the stories of the disputants,skill
hair removal techniques,hair removal technique|hair removal methods|hair removal approaches|hair removal procedures,knowledge
ML (computer programming),ML development principles|ML|ML systems,knowledge
manage social crisis,support individuals facing a social crisis|handle social crisis|help individuals coping with social crisis|support management of social crisis,skill
Montessori learning equipment,Montessori learning instruments|Montessori learning tools|Montessori learning implements,knowledge
measure flatness of a surface,assess evenness of piece of work|monitor flatness of a surface|monitor evenness of piece of work|test flatness of a surface|test evenness of piece of work|assess flatness of a surface|confirm flatness of a surface|confirm evenness of piece of work,skill
IBM WebSphere,,knowledge
calculate employee benefits,calculate welfare benefits|calculate benefits|calculate aid|calculate welfare,skill
order customisation of orthopedic products for customers,order customisation of an orthopaedic products for customers|order customisation of orthopaedic goods for customers|order customisation of orthopaedic brands for customers|order customisation of orthopaedic stock for customers|order customisation of orthopaedic merchandise for customers|order the customisation of orthopaedic products for customers|order customisation of orthopaedic products for a customer,skill
advise customers on maintaining optical products,instruct customers on maintaining optical products|help customers on maintaining optical products|recommend customers on maintaining optical products|advise customers on maintaining an optical product|commend customers on maintaining optical products|suggest customers on maintaining optical products|advise a customer on maintaining optical products|advising customers on maintaining optical products,skill
use mine planning software,planning mining using software|using of mine planning software|planning of mining using software|mine planning software utilisation|using software to plan mining|using mine planning software|use software to plan mining|plan mining using software|utilisation of mine planning software,skill
prepare meat products for shipping,prepare meat product for shipping|get ready meat products for shipping|prepare a meat product for shipping|arrange meat products for shipping|provide meat products for shipping|lay out meat products for shipping,skill
identify security threats,establish safeguarding threats|establish security threats|diagnose security threats|determine security threats|determine safeguarding threats|diagnose safeguarding threats,skill
tend textile finishing machines,operate finishing machines for textile|operate textile finishing machinery|tend finishing machines for textile|operate textile finishing machines|tend finishing machinery for textile|tend textile finishing machinery,skill
validation of learning acquired through volunteering,validation procedures for skills acquired through volunteering|validation of Non-formal and informal learning acquired through volunteering|validation of non-formal learning acquired through volunteering|validation of informal learning acquired through volunteering|validation process for skills acquired through volunteering,knowledge
thoracic surgery,thoracic cavity surgery|lung surgery|thoracic operation,knowledge
printed goods processes,printed goods process|printed goods production|measurement of printed goods|printed goods processing|processing printed goods,knowledge
create 3D CAD footwear prototypes,elaborate 3D CAD footwear prototypes|design 3D footwear prototypes with computer-aided designing|elaborate 3D digital footwear prototypes|design 3D digital footwear prototypes|create 3D footwear prototypes with CAD software|create 3D footwear prototypes with computer-aided design software|create 3D digital footwear prototypes,skill
organise camp activities,organises camp activities|organise camp activity|organising camp activities|arrange camp activities|plan camp activities|manage camp activities|organize camp activities,skill
manage time in fishery operations,work scheduling in fishery operations|scheduling work in fishery operations|fishery operation time managing|fishery operations work scheduling|time managing in fishery operations|fishery operation work scheduling|managing time in fishery operations|schedule work in fishery operations|fishery operations time managing,skill
perform tungsten inert gas welding,operate  inert arc bonding and welding|undertake tungsten inert gas welding|complete tungsten inert gas welding|implement tungsten inert gas welding|undertake inert arc bonding and welding|complete inert arc bonding and welding|implement inert arc bonding and  welding|operate tungsten inert gas welding,skill
audio technology,audio software|audio technologies|audio techniques|audio equipment,knowledge
unmanned air systems,hand-held control of unmanned air systems|unmanned aircraft system|unmanned-aircraft vehicle system|UAS|drone|remotely piloted aerial vehicle|remotely piloted aircraft system,knowledge
evaluate supporting team in community arts program,evaluate supporting team in community arts programs|evaluate supporting team in community arts|assess supporting team in community arts program|evaluating supporting team in community arts program|rate supporting team in community arts program|evaluate supporting teams in community arts program,skill
determine medical images' diagnostic suitability,analyse medical images' diagnostic suitability|ensure medical images' diagnostic suitability|analyze medical images' diagnostic suitability|determine diagnostic suitabilty of the medical images|appraise medical images|determine diagnostic suitability of medical images|determine a medical image's diagnostic suitability|decide on medical images' diagnostic suitability|determine medical image's diagnostic suitability,skill
train crew members,training of crew members|training new staff|train new staff|training of new colleagues|training a crew member|crew member training|training of new crew members|train new colleagues|training of a crew member|training new colleagues|train new crew members|training crew members,skill
maintain circulation system,maintaining of oil pumping system|maintenance of oil pumping system|maintaining oil pumping system|circulation system maintenance|maintenance of circulation system|maintain oil pumping system|oil pumping system maintenance|maintaining of circulation system|maintaining circulation system,skill
determine property boundaries,determine boundaries|evaluate boundaries|determining boundary|determining boundaries|measure boundaries|identify boundaries|assess boundaries,skill
develop vaccines,developing vaccines|create vaccines|prepare vaccines|develop vaccine,skill
market farm products,farm product marketing|promote farm products|farm products marketing|marketing farm products|promoting farm products|farm products promoting|farm product promoting,skill
select items for auction,select items for an auction|choose items for auction|find items for auction|select item for an auction|look for items at auction|research items for auction|selecting items for auction,skill
create campaign schedule,design campaign schedule|produce operation schedule|produce campaign schedule|construct campaign schedule|design operation schedule|establish campaign schedule|construct operation schedule|establish operation schedule,skill
maintain trusts,preserve trusts|manage trusts|handle investments in trusts|handle trust investments,skill
information confidentiality,data access control|consumer data privacy|data confidentiality,knowledge
monitor event activities,keep track of event activities|monitor activities of event|follow event activities|monitor the event activities,skill
inspect data,inspection of data|appraise data|look at data|data inspection|assess data|inspecting data|check data,skill
monitor online competitors,oversee online competitors|watch online competitors|view online competitors|monitoring online competition|supervise online competitors|monitoring online competitors|monitor online competition,skill
manage sub-contract labour,oversee sub-contract labour|managing sub-contract labourers|manage sub-contract labor|manage sub-contract labourers|managing sub-contract labour|supervise sub-contract labour|coordinate sub-contract labour|monitor sub-contract labour,skill
rust proofing spray gun parts,rust proofing spray gun components|corrosion prevention tool units|corrosion prevention tool sections|rust proofing spray gun units|rust proofing spray gun segments|corrosion prevention tool components|corrosion prevention tool segments|rust proofing spray gun sections,skill
LDAP,Lightweight Directory Access Protocol,knowledge
tend cold rolling mill,oversee  automatic threading machinery|guard cold rolling mill|guard  automatic threading machinery|watch over cold rolling mill|monitor  automatic threading machinery|monitor cold rolling mill|watch automatic threading machinery|oversee cold rolling mill,skill
operate core drilling equipment,exploration drilling machine operation|operation of core drilling equipment|operation of exploration drilling machine|operating of core drilling equipment|operating core drilling equipment|operating of exploration drilling machine|core drilling equipment operation|operate exploration drilling machine|operating exploration drilling machine,skill
communicate mathematical information,use the language of mathematics|communicating mathematical information|use mathematical symbols|communicate mathematical info|explain mathematical information|recount mathematical information|communicate math information|convey mathematical information|present mathematical information|illustrate mathematical findings|explain mathematical findings,skill
mentor individuals,guide individuals|support people|support individuals|help people|guide people|help individuals,skill
handle honeycombs,hold honeycombs|handling honeycombs|place honeycombs|utilise honeycombs|handle a honeycomb,skill
check ride communications,check ride communication|check communication functions|assess ride communications,skill
multimedia systems,multimedia organisation|multimedia arrangement|multimedia structure|a multimedia system|multimedia system|multimedia scheme,knowledge
remove parts of fish,cut off parts from fish|remove parts of a fish|cut parts from fish|remove fish parts|remove the parts of fish|cut out parts from fish|take away parts from fish,skill
study relationships between characters,look at relationships between characters|study character relationships|examine relationships between characters|analyse relationships between characters|studying relationships between characters|study relationship between characters,skill
comply with agricultural code of practice,complying with code of practice in agriculture|follow agreed business practices in agriculture|complying with agricultural code of practice|adhering to business rules in agriculture|adhere to business rules in agriculture|complying with codes of practice in agriculture|following agreed business practices in agriculture,skill
clinical decision-making at advanced practice,application of advanced practice with regard to clinical decision-making|taking decisions applying advanced practice|advanced practice clinical decision-making,skill
apply plastic resin layers,use plastic resin layers|apply synthetic resin|use synthetic resin|apply layers of plastic resin|utilise plastic resin layers|apply layers made of plastic resin|employ plastic resin layers|cover with plastic resin|overlay with plastic resin,skill
draw up reference documents for performance,drawing up reference documents for performance|draw up reference document for performance|draw up reference documents for performances|write reference documents for performance|create reference documents for performance,skill
prepare service trolleys,arrange service trolleys with food and beverages|organise room service trolley with food and drinks|prepare serving trolleys|prepare trolleys for service,skill
teamwork principles,teamwork approaches|teamwork methods|teamwork concepts|teamwork principle,knowledge
irrigate soil,soil irrigating|carrying out soil watering|carrying out soil irrigation|carry out soil watering|irrigating soil|soil watering|watering soil|water soil|carry out soil irrigation,skill
decide on wig making process,decide on process of wig making|define wig materials and techniques|decide on process to make wigs|establish and record choice of wigs,skill
maintain genetic registers,maintain genetic register|keep genetic registers|keep genetic data|keep a genetic register,skill
coach during a sports competition,teach during a sports competition|coaching during a sports competition|coach during sports competitions|instruct during a sports competition,skill
handle financial overviews of the store,deal with financial overviews of the store|administer financial overviews of the store|handle financial overviews of stores|conduct financial overviews of the store|handling financial overviews of the store|handle financial overview of the store|operate financial overviews of the store,skill
administer chemicals to starch production,utilise chemicals to starch production|organise chemicals to starch production|apply chemicals to starch production|administering chemicals to starch production|administer of chemicals to starch production|control chemicals to starch production|administer a chemical to starch production,skill
collaborate with stakeholders in leading community arts,collaborating with stakeholders in leading community arts|collaborate with leading community art stakeholders|network with stakeholders in leading community arts|work together with stakeholders in leading community arts|collaborate with stakeholders in community arts|team up with  stakeholders in leading community arts|collaborate with stakeholders in leading community art,skill
analyse marketplace competition in rental industry,investigate marketplace competition in rental industry|search marketplace competition in rental industry|scrutinise marketplace competition in rental industry|analyze  marketplace competition in rental industry|test marketplace competition in rental industry|analysing marketplace competition in rental industry|analysis of marketplace competition in rental industry|analyse marketplace competition in the rental industry,skill
create subtitles,make subtitles|draft subtitles|establish subtitles|creating subtitles|write subtitles,skill
correct temporomandibular joint abnormalities,fix temporomandibular joint abnormality|correct TMJ abnormality|correct TMJ abnormalities|correct temporomandibular joint abnormality|realign teeth and jaw|fix TMJ abnormalities,skill
lottery company policies,plan of action of lottery company|policies of lottery company|lottery company's set of rules|company's lottery policy,knowledge
train livestock and captive animals,train animals|instruct animals|training animals|teach animals,skill
check price accuracy on the shelf,checking price accuracy on the shelf|assess price accuracy on the shelf|audit price accuracy on the shelf|checking the price accuracy on the shelf|test price accuracy on the shelf|check price accuracy on a shelf|determine price accuracy on the shelf,skill
monitor well costs,oil well cost reviewing|reviewing well costs|monitoring well costs|well cost monitoring|reviewing of oil well costs|monitoring oil well costs|reviewing oil well costs|reviewing of well costs|well costs reviewing|oil well costs reviewing|well costs monitoring|monitoring of well costs|well cost reviewing|oil well cost monitoring|monitoring of oil well costs|oil well costs monitoring,skill
use intuition in booking projects,take risks when booking projects|use intuition when making project bookings|follow your instinct when booking a project|use intuition when booking projects,skill
lubricate rolling stock wheels,oil rolling stock wheels|apply oil to wheels of railway vehicle|use grease to rolling stock wheels|utilise oil to rolling stock wheels|lubricate wheels of rolling stock|use oil to rolling stock wheels,skill
create soil and plant improvement programmes,create soil improvement programmes|creating plant improvement programmes|soil improvement programme creating|developing soil and plant improvement programmes|create plant improvement programmes|soil and plant improvement programme creating|develop plant improvement programmes|creating soil improvement programmes|plant improvement programme developing|creating soil and plant improvement programmes|plant improvement programme creating|create soil and plant improvement programs|developing soil improvement programmes|soil improvement programme developing|develop soil improvement programmes|developing plant improvement programmes|soil and plant improvement programme developing|develop soil and plant improvement programmes,skill
record jewel weight,register weight of jewels|weigh jewellery items|record weight of jewellery items|weigh jewels|record weight of jewels|record weight of jewellery,skill
place orders for textile materials,arrange orders for textile materials|placing an order for textile materials|placing orders for textile materials|estimate orders for textile materials|send orders for textile materials|place an order for textile materials|calculate orders for textile materials,skill
carry out preparations for fish disease specialist,carry out preparations for fish disease specialist treatments|making preparations for fish disease specialist treatments|make preparations for fish disease specialist treatments|carrying out preparations for fish disease specialist treatments,skill
apply music therapy assessment methods,apply assessment methods in music therapy|apply music therapy assessment method|apply music therapy assessment procedures|apply music therapy assessment procedure|carry out music therapy assessment|use music therapy assessment methods,skill
operate drum device,tend drum device|drum device operating|drum device tending|operating drum device|tending drum device,skill
cut metal products,cutting of metal products|metal cutting instrument operation|operating metal cutting instruments|metal products cutting|operate cutting instruments|operation of metal cutting instruments|operate metal cutting instruments|operation of cutting instruments|operating cutting instruments|cutting instrument operation|cutting metal products|metal product cutting,skill
understand written Galician,understanding written Galician|interpret written Galician|read Galician|make sense of written Galician|comprehend written Galician|understand Galician writing,skill
complete patient journey records,complete patient transportation records|fill in patient journey records|complete patients' journey records|complete patients' journey-records|keep track of patient journey records|complete journey records of patients|complete transportation records of patients|complete journey record of a patient,skill
identify problems,diagnose problems|detect problems|signal problems,skill
babysitting,baby sitting|child care taking|baby-sitting|nannying,knowledge
perform safety inspections on spraying equipment,performing safety inspections on spraying equipment|perform safety inspections on spray equipment|perform careful examination on the safety of spraying equipment|do safety inspections on spraying equipment|perform safety inspection on spraying equipment,skill
electronic business,E-business,knowledge
cut gem stones,saw gem stones|cut gems|cutting gem stones|reshape gem stones,skill
support children's wellbeing,support children's mental wellbeing|support children's resilience|stimulate children's wellbeing,skill
organise workshop space,organize workshop space|plan workshop space|arrange workshop space|organising workshop space|manage workshop space|organise workshop spaces|organise space for workshops,skill
carry out shipping orders for parts,make shipping orders for parts|undertake shipping orders for parts|complete shipping orders for parts|oversee shipping orders for parts|carrying out shipping orders for parts|carry out a shipping order for parts|carry out shipping order for a part,skill
use painting techniques,employ painting techniques|using painting techniques|utilize painting techniques,skill
tend electroplating machine,oversee electroplating machine|oversee anodising machine|monitor electroplating machine|watch over electroplating machine|monitor anodising machine|guard anodising machine|watch over anodising machine|guard electroplating machine,skill
enforce chimney sweeping quality standards,enforcing chimney sweeping quality standards|ensure chimney sweeping complies with quality standards|enforce chimney sweeping quality standard|make sure chimney sweeping complies with quality standards|implement chimney sweeping quality standards,skill
materials of die,supplies of die|material of die|stuffs of die|resources of die,knowledge
optical components,types of optical components|frames|materials used in optics|typology of optical components|lenses|optical materials|components of optics|kinds of optical components,knowledge
dry coated workpieces,leave coated workpieces to dry|enable coated workpieces to dry|help coated workpieces to dry|facilitate coated workpieces to dry|allow coated workpieces to dry,skill
forensic linguistics,language and law|applied forensic linguistics|legal linguistics,knowledge
maintain physical fitness,keep yourself in good conditions|apply preventive healthy behaviours|adopt an healthy lifestyle|care about your fitness,skill
demolish structures,demolish structure|knock down structures|dismantle structure|remove structures|structural demolition|demolition|break down structure|break down structures|demolishing structures|remove structure|demolition of structures|knock down structure|dismantle structures,skill
manage physical resources,managing physical resources|direct physical resources|oversee physical resources,skill
tally lumber,total lumber|tallying lumber|sum lumber|count lumber,skill
contact event speakers,contact event speaker|contact speakers for event|communicate with event speakers|contacting event speakers|get in touch with event speakers,skill
perform annual legal safety checks,perform an annual legal safety check|performing an annual legal safety check|implement annual legal safety checks|performing annual legal safety checks|complete annual legal safety checks|undertake annual legal safety checks,skill
understand spoken Albanian,understanding spoken Albanian|comprehend spoken Albanian|interpret spoken Albanian|understand Albanian speech|listen to Albanian|make sense of spoken Albanian,skill
prepare coffins for cremation,make coffins ready for cremation|get coffins ready for cremation,skill
ensure compliance with purchasing and contracting regulations,to ensure compliance with purchasing and contracting regulations|enable compliance with purchasing and contracting regulations|ensuring compliance with purchasing and contracting regulations|assure compliance with purchasing and contracting regulations|ensure there is compliance with purchasing and contracting regulations|secure compliance with purchasing and contracting regulations|provide compliance with purchasing and contracting regulations,skill
diagnose patients with immunodeficiencies,diagnose patient with immunodeficiency|diagnose patient with immunodeficiencies|examine diseases of the immune system|diagnose immunodeficiencies in patients|diagnose immunodeficiency in a patient,skill
drive agricultural machines,agricultural machines driving|drive tractors|drive forklifts|drive farm machines|tractor driving|driving farm machines|drive agricultural machines|driving forklifts|tractor operation|driving tractors|using tractor|operate tractor|operation of tractors|forklift driving|agricultural machine driving|driving agricultural machines,skill
determine image composition,determine composition of image|determine picture|select subject of picture,skill
analyse ship operations,conduct analyses of ship operations|assess operations of ships|analyse operations of ships|carry out evaluations of ship operations|perform analyses of ship operations|evaluate ship operations|conduct analyses of vessel operations|analyze  ship operations|make assessments of ship operations|evaluate operations of ships|assess ship operations|analyse vessel operations,skill
install ventilation equipment,installation of ventilating equipment|fit ventilation equipment|installation of ventilation equipment|ventilation equipment installation|mount fans and ducts|fan and duct mounting|ventilating equipment installation|install ventilating equipment,skill
secure ships using rope,utilise rope to secure ship|use rope to tie up vessels|tie vessels to moorings using rope|secure vessels on moorings using rope|tie ships to moorings using rope|use rope to tie up ships|fasten ships to land via rope|fasten vessels to land through using rope|secure vessel using rope|fasten ships to moorings via rope,skill
advise customers on hearing aids,advising a customer on hearing aids|instruct customers on hearing aids|recommend customers on hearing aids|suggest customers on hearing aids|advising customers on hearing aids|commend customers on hearing aids|advise a customer on hearing aids|help customers on hearing aids,skill
protective measures related to swimming pool chemicals,pool chemical protective measures|protective actions related to swimming pool chemicals|protective steps related to swimming pool chemicals|protective measures related to swimming pool chemical,knowledge
adjust projector,focus the light beam of a projector|adjust the focus of a projector|adjust the focus of a projector's lens|adjust projector's lens focus|adjust projector's focus|fine-tune a projector's lens focus|focus projector's light beam,skill
process refunds,process a refund|handle refunds|refund processing|processing refunds|measure refunds|sort refunds|pay refunds,skill
medical oncology,medical treatment of tumors and cancer|development of tumors and cancer|characteristics of tumors and cancer|oncology|diagnosis and treatment of tumors and cancer|oncological medicine,knowledge
ensure consistency of published articles,ensuring consistency of published articles|oversee consistency of published articles|maintain consistency of published articles|guarantee consistency of published articles|ensure consistency of published article,skill
operate hydraulic pumps,hydraulic pumps operation|run hydraulic pumps|run hydraulic pumping systems|use hydraulic pumping systems|operating hydraulic pumps|operating of hydraulic pumps|operation of hydraulic pumps|using hydraulic pumping systems|hydraulic pump operation|running hydraulic pumps|running hydraulic pumping systems,skill
hand gestures,hand gesture|gestures of the hand|hand signals,knowledge
implement evaluation methods in music therapy,set up evaluation methods in music therapy|implement evaluation method in music therapy|develop evaluation methods in music therapy|apply evaluation methods in music therapy|implement evaluation method for music therapy|implement evaluation methods for music therapy sessions,skill
leather chemistry,chemical properties of leather|chemical composition and properties of leather|tanning chemistry|the chemistry of leather|leather chemistry monitoring|leather chemistry properties,knowledge
monitor the discharge of cargo,supervise the discharge of cargo|manage freight discharge procedures|perform freight discharge monitoring activities|monitor the discharging of cargo|oversee discharge of freight|oversee the discharge of cargo|oversee the discharging of cargo|monitor vessel discharge|supervise the discharging of cargo|develop and implement cargo discharge plans|perform freight discharge monitoring|carry out cargo discharge monitoring activities,skill
control animals in distress,supervise animals in distress|oversee animals in distress|control of animals in distress|manage animals in distress|controlling animals in distress|look after animals in distress|control of animal in distress,skill
manufacturing of pumps and compressors,construction of pumps and compressors|production of draining apparatus|assembly of pumps and compressors|production of pumps and compressors|fabrication of pumps and compressors|fabrication of draining apparatus|construction of draining apparatus|assembly of draining apparatus,knowledge
adapt Pilates exercises,modify the Pilates regime|amend Pilates movements,skill
maintain contract administration,maintain a contract administration process|control contract administration|sustain contract administration|contract administration maintenance|preserve contract administration|maintaining contract administration|manage contract administration,skill
