preferred_label,alt_labels,type
peform small vessel administrative duties,fulfil small vessel administrative duties|perform administrative duties on a small vessel|fulfilling administrative duties on a small vessel|perform small vessel administrative duties|performing administrative duties on a small vessel|performing small vessel administrative duties|fulfil administrative duties on a small vessel|fulfilling small vessel administrative duties,skill
cosmetics ingredients,cosmetics additives|cosmetics elements|a cosmetics ingredient|cosmetics raw materials|ingredients of cosmetics,knowledge
human dynamics as part of hospitality security,human dynamics as part of security in hospitality|hospitality security human dynamics|human behaviour as part of a security programme|behavioural insight for customers' security,knowledge
advise on construction materials,giving of advice on construction materials|give advice on construction materials|advise about construction materials|provide advice on construction materials|giving advice on construction materials|advise regarding construction materials,skill
maintain rotating equipment,replace revolving equipment|overhaul rotating equipment|replace rotating equipment|mend revolving equipment|reconstruct revolving equipment|overhaul revolving equipment|mend rotating equipment|maintain revolving equipment|reconstruct rotating equipment,skill
develop blockchain innovative architectures,build innovative blockchain architectures,skill
pump products for storage,pump items for storage|pump merchandise for storage|pump goods for storage|pump artefacts for storage,skill
medico-biological and medical sciences related to dentistry,dentistry medico-biological and medical sciences|medico-biological and medical principles relevant for dentistry|medico-biological and medical aspects of dentistry|denistry-related medico-biological and medical sciences,knowledge
attend to detail in casting processes,attend to casting process details|attend to casting processes detail|attention to detail in casting processes,skill
biomedical science,principles of natural sciences applied to medicine,knowledge
keep up to date on product knowledge,keep posted on product knowledge,skill
write Hungarian,correspond in written Hungarian|show competency in written Hungarian,skill
monitor drilling fluid,drilling mud monitoring|drilling fluids monitoring|monitor drilling mud|monitoring of mud|mud monitoring|monitoring drilling fluids|drilling fluid monitoring|monitoring drilling fluid|monitoring mud|monitoring of drilling mud|monitoring of drilling fluid|monitor mud|monitoring drilling mud,skill
develop efficiency plans for maritime shipping,implement maritime efficiency plans|oversee planning for maritime efficiency|develop maritime shipping efficiency plans|oversee maritime shipping efficiency plans|produce and implement plans to ensure maritime efficiency|develop efficiency plans for shipping|ensure maritime efficiency through planning|produce efficiency plans for maritime shipping|produce maritime shipping efficiency plans,skill
tend packaging machines,mind packaging machines|tend a packaging machines|look after packaging machines|watch packaging machines|take care of packaging machines|tend packaging machinery,skill
advise on clay products handling,instructing on clay product handling|instruct on clay product handling|instruct on clay products handling|instructing on handling of clay products|advising on handling of clay products,skill
maintain drilling equipment,mend drilling equipment|repair drilling equipment|drilling equipment maintenance|maintenance of drilling equipment|mending drilling equipment,skill
control tree diseases,diseased trees removing|diseased tree removing|tree disease controlling|remove diseased trees,skill
network engineering,network architecture,knowledge
analyse the artistic concept based on stage actions,analyse  the artistic concept based on actions on stage|analyse artistic concept stage action|examine a performance's artistic concept according to stage movements|analyse the artistic concept of a performance during rehearsals|analyze  the artistic concept based on stage actions,skill
migrate existing data,drift existing data,skill
manage supplies,plan supplies|monitor and control supplies|manage supply chain|supplies management|supply chain management|supplies planning|control and monitor supplies|supplies managing,skill
human factors regarding safety,human factors regarding health and safety|human health and safety considerations|human health and safety implications|human safety implications|human safety factors|human safety considerations,knowledge
understand spoken Luxembourgish,comprehend spoken Luxembourgish|interpret spoken Luxembourgish|make sense of spoken Luxembourgish|understand Luxembourgish speech|understand spoken Luxembourgish|listen to Luxembourgish|understanding spoken Luxembourgish,knowledge
perform roof maintenance,roof maintenance performance|performance of roof maintenance|maintaining roofs|roof repair|repair roof|maintain roofs|mend roof|repair roofs,skill
types of digesters,type of digester|varieties of digesters|sorts of digesters|kinds of digesters|categories of digesters,knowledge
define database physical structure,define database physical storage structure,skill
lay stones,paving stone laying|laying paving stones|stone laying|building stone walls|lay stone paviours|build stone walls|laying stones|lay paving stones|laying of paving stones|building of stone walls|laying of stones,skill
assemble circus rigging equipment,install circus rigging equipment|set up circus rigging equipment|fit up circus rigging equipment|assembling circus rigging equipment|assemble rigging equipment for circus,skill
manage documentation of prior learning assessments,establish the learning assessment protocol|handle documentation of prior learning assessments|administer documentation of prior learning assessments|oversee documentation of prior learning evaluations,skill
perform oral health diagnosis,fulfill oral health diagnosis|record patient's oral and dental state|accomplish oral health diagnosis|execute oral health diagnosis|conduct oral health diagnosis|carry out oral health diagnosis|record oral health diagnosis|diagnose a patient's oral health,skill
geomatics,the study of Earth’s surface,knowledge
contamination exposure regulations,regulations about contaminated materials|regulations concerning contamination exposure|regulations about contamination exposure|regulations regarding contamination exposure|regulations concerning contaminated materials|regulations regarding contaminated materials,knowledge
Maltego,,knowledge
search historical sources in archives,search archives for historical sources|explore historical sources in archives|find historical sources in archives|query historical sources in archives|historical source search in archives,skill
supervise performers' fights,arrange direct performers' fights|manage direct performers' fights|direct performers' fights|supervise performers' fight|supervising performers' fights|supervise performer's fights,skill
develop script bible,write script bible|set script bible|draft script bible|establish script bible|developing script bible|develop script’s bible,skill
operate radio equipment,facilitate use of radio devices|set up and maintain radio equipment|oversee the use of radio equipment|operate radio devices|set up and maintain radio devices|use radio equipment|use radio devices|utilise radio devices|oversee the use of radio devices|facilitate use of radio equipment|utilise radio equipment,skill
remove contaminated materials,contaminated materials removing|removing contaminated materials|treat contaminated materials|dispose of contaminated materials|contaminated materials treating|contaminated materials disposing,skill
inspect paint quality,inspect quality of paint|check paint quality|review paint quality|inspect paint condition,skill
styles of boxes,kinds of boxes|sorts of boxes|types of boxes|shapes of boxes|style of box|box styles,knowledge
collect property financial information,audit properties|collect information on property finance|collect financial information on properties,skill
trace financial transactions,trace financial transaction|oversee  financial transactions|tracing financial transactions|track financial transactions,skill
contribute to quality physiotherapy services,contribute to quality development in physiotherapy services|contribute to quality development in physiotherapy|undertake physiotherapy service quality activities|make contributions to the development of quality physiotherapy services|contribute to physiotherapy service quality development|contribute to safe physiotherapy services|participate in physiotherapy quality development activities|support quality physiotherapy service development|participate in activities for the development of quality physiotherapy services|contribute to cost-effective physiotherapy services,skill
install radiators,build convector heaters|introduce radiators|institute convector heaters|inaugurate convector heaters|institute radiators|build radiators|inaugurate radiators|introduce convector heaters|install radtors,skill
advise on care products for pets,help customers on usage of care products for pets|advising customers on usage of care products for pets|advise a customer on usage of care products for pets|recommend customers on usage of care products for pets|advise customers on usage of care products for pets|advise customers on the usage of care products for pets|suggest customers on usage of care products for pets|commend customers on usage of care products for pets|instruct customers on usage of care products for pets,skill
operate remote sensing equipment,control remote sensing equipment|run remote sensing equipment|employ remote sensing equipment|use remote sensing equipment|remote sensing equipment operation|operation of remote sensing equipment,skill
calculate stairs rise and run,calculate staircase dimensions|calculating stair rise and run|staircase rise and run assessment|calculate staircase rise and run measurements|staircase rise and run calculation|stairs rise and run calculation|calculate staircase rise and run|stair rise and run assessment|assessment of stair rise and run|calculation  of stair rise and run|calculate stair rise and run measurements|calculations for stair rise and run,skill
first aid for animals,basic 1st aid for animals|basic animal emergency treatment|aims of animal first aid|basic knowledge of first aid provision to animals|basic animal first aid|principles of first aid for animals|animal first aid principles|characteristics of animal emergency treatment|basic emergency treatment for animals,knowledge
empathise with outdoor groups,empathise with groups|understand participants of outdoor activities|empathize  with outdoor groups|empathise with participants of outdoor sports,skill
provide context to news stories,contextualize news stories|providing context to news stories|offer context to news stories|provide context to news story|situate news stories,skill
interpret circuit diagrams,interpret elementary diagrams|interpret electrical circuit diagrams|understand circuit schematics|read diagrams of circuits|understand circuit blueprints|read circuit diagrams,skill
draw up artistic production,register artistic production|draw up artistic productions|record artistic production|drawing up artistic production|write down artistic production|document artistic production,skill
install passenger service units,adjust passenger service units for use|place PSUs|fix passenger service units|put into operation PSUs|prepare passenger service units for use|mount passenger service units|attach passenger service units|install PSUs|install aircraft components situated above passenger seats,skill
understand written Korean,understanding written Korean|read Korean|interpret written Korean|understand Korean writing|comprehend written Korean|make sense of written Korean,skill
keep records of bridge investigation findings,keep written records of bridge investigation findings|maintain records of bridge investigations|ensure written records of the findings of bridge investigations are maintained|ensure findings of bridge investigations are recorded in writing|maintain records of the findings of bridge investigations|maintain records of bridge investigation findings|keep records of bridge investigation findings|record the findings of bridge investigations in writing|keep records of the findings of bridge investigations|produce written records of bridge investigations|keep records of bridge investigations,skill
sand blasting machine parts,sand blasting machine pieces|sand blasting machine components|sand blasting machine units|blasting abrasive machine components|blasting abrasive machine units|sand blasting machine elements|blasting abrasive machine elements|blasting abrasive machine pieces,knowledge
create model,design model|build model|make model|construct model|create models|creating model,skill
follow procedures to control substances hazardous to health,comply with guidelines for use of hazardous substances|follow control of health procedures for hazardous substances|follow health procedures for the  control of hazardous substances|follow control of substances hazardous to health procedures|ensure safe use of substances hazardous to health,skill
assess visual impact of displays,assessing the visual impact of displays|test visual impact of displays|assess the visual impact of displays|assess the visual impact of a display|check visual impact of displays|judge visual impact of displays|appraise visual impact of displays,skill
select glassware for serving,determine glassware for use and inspect for cleanliness|select glasswares for serving|select glassware,skill
cardiovascular system,anatomy and physiology of the heart and vascular system|cardiovascular anatomy and physiology|cardiovascular systems,knowledge
biosecurity related to animals,biosecurity related to an animal|awareness of hygiene and security measures related to animals|biosecurity measures when working with animals|bio-security related to animals,knowledge
check information on prescriptions,check prescription's information|verify information on prescription|verify information on prescriptions|ensure accuracy of prescriptions|check prescription information,skill
assume responsibility for maintaining a safe ship environment,assume accountability for maintaining a safe vessel environment|assume responsibility for maintaining a safe vessel environment|assume accountability for maintaining a safe ship environment|maintain safety of vessel environment|ensure a safe on board environment|assume responsibility for maintaining a safe environment on vessels|assume responsibility for maintaining a safe environment on ships|maintain a safety of ship environment|ensure the safety of crew and passengers on board vessel|ensure the safety of crew and passengers on board ship|ensure a safe environment on board,skill
follow hygienic practices in fishery operations,employing hygienic practices in fishery operations|follow hygienic operational practices in fisheries|employing hygienic operational practices in fisheries|employ hygienic practices in fishery operations|following hygienic practices in fishery operations|following hygienic operational practices in fisheries|employ hygienic operational practices in fisheries,skill
supervise work on design planning,supervising the work on design planning|develop work on design planning|produce work on design planning|supervising work on design planning|supervise the work on design planning|model work on design planning|arrange work on design planning,skill
measure trees,measure tree height|measuring trees|gauge tree measurement|measure the trees,skill
bend staves,bending staves|shape staves|form staves|curve staves|bow staves|bend stave,skill
select music for performance,determine music pieces|select which music to perform|select performance music|choose music scores,skill
geological mapping,geological map|geologic mapping,knowledge
tend electron beam welding machine,guard electron beam welding machine|oversee electron beam welding machine|watch electron beam heating and bonding machine units|oversee electron beam heating and bonding machine units|monitor electron beam heating and bonding machine units|monitor electron beam welding machine|guard electron beam heating and bonding machine units|watch electron beam welding machine,skill
ensure infrastructure accessibility,ensure facilities are accessible to people with disabilities|consult on infrastructure accessibility|provide accessible facilities,skill
inspect table settings,check table layout|inspect table setup|ensure correct table layout|inspect settings at table,skill
drive automatic car,driving automatic car|use automatic car|pilot automatic car|driving automatic cars|drive automatic cars|operate automatic car,skill
prepare intravenous packs,make IV packs ready|prepare IV packs|set up IV packs|prepare IV pack|prearrange IV packs|prepare intravenous pack|prearrange intervenous packs,skill
configure electronic equipment,configuring electronic equipment|electronic equipment setting|set up electronic equipment|setting up electronic equipment|electronic equipment configuring,skill
Erlang,,knowledge
operate specialised equipment in emergency,operate specialized equipment in emergencies|operate specialised equipment in emergencies|operate specialized  equipment in emergency|operate specialized equipment in emergency environment|use specialised equipment in emergency|operate specialized equipment in emergency|use specialised equipment in emergency situations,skill
plan retail space,lay out retail space|set up retail space|plan a retail space|organise retail space|planning retail space|plan retail spaces|arrange retail space,skill
write leaflets,produce pamphlets|draft pamphlets|compose pamphlets|draft leaflets|create pamphlets|produce leaflets|compose leaflets|create leaflets,skill
use jewellery equipment,use equipment for jewellery|using jewellery equipment|utilize jewellery equipment|work with jewellery equipment|use jewelry  equipment,skill
taste wines,sip wines|taste a wine|drink wines|tasting wines|evaluate wines|sample wines,skill
manufacturing of taps and valves,production of industrial sanitary equipment|assembly of industrial sanitary equipment|construction of taps and valves|fabrication of taps and valves|production of taps and valves|fabrication of industrial sanitary equipment|construction of industrial sanitary equipment|assembly of taps and valves,knowledge
check sensorial parameters of oils and fats,check sensorial parameters of oil and fat|test sensorial parameters of oils and fats|check the sensorial parameters of oils and fats|assess sensorial parameters of oils and fats|audit sensorial parameters of oils and fats|check of sensorial parameters of oils and fats,skill
maintain coquille parts,repair coquilles|coquille parts maintenance|coquille part maintenance|maintaining of coquille parts|coquille repairs|maintaining coquille parts|maintenance of coquille parts|repairing coquilles|coquille repair,skill
understand spoken Hungarian,understanding spoken Hungarian|make sense of spoken Hungarian|interpret spoken Hungarian|understand Hungarian speech|listen to Hungarian|comprehend spoken Hungarian,skill
schedule maintenance of airport electrical systems,schedule maintenance for electrical systems used in airports|arrange maintenance schedules for airport electrical systems|create airport electrical system maintenance schedules|arrange maintenance of airport electrical systems|organise maintenance for electrical systems used in airports|schedule maintenance for airport electrical systems|develop airport electrical systems maintenance schedule|perform airport electrical systems maintenance scheduling|organise maintenance of airport electrical systems|organise maintenance for airport electrical systems|carry out maintenance scheduling for airport electrical systems,skill
history of tobacco,history regarding tobacco|norms of tobacco|the history of tobacco|traditions of tobacco|yesteryear of tobacco|tobacco history|past of tobacco,knowledge
carry out event management,make event management|undertake event management|complete event management|oversee event management,skill
understand spoken Welsh,understand Welsh speech|make sense of spoken Welsh|understanding spoken Welsh|listen to Welsh|comprehend spoken Welsh|interpret spoken Welsh,skill
manage ICT data classification,,skill
keep sheet records,preserve sheet records|keeping sheet records|conserve sheet records|maintain sheet records|save sheet records|keep sheet record,skill
brush rubber cement,apply rubber cement|rubber cement brushing|applying rubber cement|brushing rubber cement|rubber cement applying,skill
develop leather goods collection,create prototype and final leather products|develop leather products collection|develop leather goods|create prototype and final leather goods|create leather goods collection|develop leatherwear collection,skill
create solutions to problems,create solution to problems|conceive  solutions to problems|creating solutions to problems|devise solutions to problems|formulate solutions to problems|come up with solutions to problems|create solutions,skill
analyse cultural trends,review cultural trends|evaluate cultural trends|study cultural trends|examine cultural trends|analyze  cultural trends|analysing cultural trends|analyse cultural trend|analyse trends in culture,skill
assess cage water quality,cage water quality checking|check cage water quality|checking cage water quality|assessing cage water quality|assessing water quality in cage|checking water quality in cage|cage water quality assessing,skill
understand the architecture of a live performance,understand the structure of a live performance|understand the architecture of a live performance|understand a live performance's architecture|observe the choreographic structure during a live performance|understand the architecture of a performance that is live,skill
apply electrolytes to cathodes and anodes,administer electrolytes to cathodes and anodes|use electrolyte solution to cathodes and anodes|implement electrolytes to cathodes and anodes|implement electrolyte solution to cathodes and anodes|use electrolytes to cathodes and anodes|operate electrolytes to cathodes and anodes|operate electrolyte solution to cathodes and anodes|administer electrolyte solution to cathodes and anodes,skill
hair cutting techniques,hair cutting procedures|haircut technique|hair cutting methods|haircut techniques|hair cutting approaches|hair cutting technique,knowledge
manage claim files,M41|oversee claim files|manage claim file|handle claim files|perform management of claim files,skill
rescue animals,rescue animals from dangerous situations|recover animals from dangerous situations|carry out animal rescues to protect animal welfare|rescue animals from threatening situations|perform animal rescues|remove animals from situations that threaten their welfare|ensure animals in threatening situations are rescued|conduct animal rescue activities|extricate animals from threatening situation|recover animals from threatening situations|extricate animals from dangerous situations,skill
guide ships into docks,steer vessel into docks|safely move ships into docks|guide vessels into docks|safely move vessels into docks|safely dock ships|control movement of ships into docks|manoeuvre vessels into docks|steer ships into docks|manoeuvre ships into docks|control movement of vessels into docks|safely dock vessels,skill
criminology,research into law breaking behaviour|investigation of law breaking behaviour|study of law breaking behaviour|investigation of criminal behaviour|study of criminal behaviour|research into criminal behaviour,knowledge
information structure,,knowledge
climate smart agriculture,climate resilient agriculture|climate smart farming,knowledge
test materials,examine materials|check materials|assess materials|analyse materials|material test|evaluate materials|material testing|material tests,skill
update message displays,update messages presented on passenger information displays|revise message displays|perform activities to display updated information on message systems|create updates presented on passenger information displays|revise passenger information displays|conduct activities to display updated information on message systems|update passenger information displays|amend message displays|amend passenger information displays,skill
operate a forecourt site,run a forecourt site|operate forecourt sites|operating a forecourt site|perform a forecourt site|undertake a forecourt site|conduct a forecourt site|forecourt site operation,skill
unload cargo,take cargo out of vehicle|unpack cargo|unloading cargo,skill
photogrammetry,photographic surveying,knowledge
communicate gambling rules,communicate house rules|explain rules and regulations|communicate rules of the house|list the game rules,skill
control train departures,control departure of trains|supervise departure of outbound trains|prepare outbound trains|control departure of outbound trains|prepare train departures|manage train departures|monitor departure of trains|control outbound trains|manage departure of trains|oversee train departure processes|monitor train departures,skill
manipulate dental material,handle dental materials|form dental materials|manipulate material for teeth|work with dental materials|form dental material|shape dental materials,skill
forensic pathology,legal procedures of forensic pathology|legal procedures to determine cause of death in criminal cases|procedures and techniques of forensic pathology,knowledge
manage temporary ICT networks for live performance,coordinate live performance technology|manage DMX for performing art|manage RDM for performing art|manage MIDI for performing art|manage Timecode control signals for performing art,skill
techniques of blood-sampling,methods of blood-sampling|techniques of blood sampling|blood sampling techniques|blood-sampling techniques|blood-sampling methods,knowledge
hygiene in a health care setting,hygiene procedures in hospitals or clinics|hygienic environment in healthcare|hygiene in healthcare setting|hospital hygiene,knowledge
design beer recipes,model beer recipes|design beer recipe|develop beer recipes|design of a beer recipe|produce a beer recipe|design a beer recipe|arrange beer recipes,skill
finish plastic products,finishing plastic products|finalise plastic products|conclude plastic products|finish a plastic product|complete plastic products|plastic product finishing,skill
keep up with digital transformation of industrial processes,keep up to date with digital transformation of industrial processes|follow digital transformation of industry|follow digital transformation of industrial processes|keep pace with digital transformation of industrial processes|keep up with digital transformation of industry,skill
advise others,make recommendations to others|provide advisory services|advise colleagues|give constructive feedback|mentor others|counsel others|advise customers|mentor individuals|counselling|giving advice to others|guide|offer suggestions to others|give advice,skill
perform manual spiral binding,perform manual spiral bindings|carry out manual spiral binding|manually perform spiral binding|performing manual spiral binding,skill
place orders for orthopedic products,place order for an orthopaedic product|placing orders for orthopaedic products|place an order for orthopaedic products|estimate orders for orthopaedic products|calculate orders for orthopaedic products|send orders for orthopaedic products|arrange orders for orthopaedic products,skill
interact verbally in Bosnian,communicate verbally in Bosnian|be fluent in Bosnian|interacting verbally in Bosnian|verbally interact in Bosnian|speak Bosnian,skill
emboss designs,imprint designs|add designs|stamp designs|embossing designs|emboss design,skill
